K, CoverageSize
1177, 0.0032
1178, 0.0064
1179, 0.0096
1180, 0.0288
1181, 0.0192
1182, 0.0256
1183, 0.0128
1184, 0.0192
1185, 0.0128
1186, 0.0144
1187, 0.032
1188, 0.128
1189, 0.0288
1190, 0.0064
1191, 0.024
1192, 0.0144
1193, 0.1152
1194, 0.0576
1195, 0.0032
1196, 0.0768
1197, 0.0128
1198, 0.0016
1199, 0.048
1200, 0.0288
1201, 0.0192
1202, 0.0512
1203, 0.0768
1204, 0.0128
1205, 0.0256
1206, 0.0576
1207, 0.0432
1208, 0.0128
1209, 0.032
1210, 0.064
1211, 0.016
1212, 0.0032
1213, 0.0128
1214, 0.0256
1215, 0.016
1216, 0.0256
1217, 0.008
1218, 0.0064
1219, 0.0512
1220, 0.0192
1221, 0.096
1222, 0.0096
1223, 0.0128
1224, 0.096
1225, 0.0064
1226, 0.0096
1227, 0.016
1228, 0.0128
1229, 0.128
1230, 0.0048
1231, 0.024
1232, 0.0576
1233, 0.0096
1234, 0.032
1235, 0.0384
1236, 0.032
1237, 0.0768
1238, 0.096
1239, 0.0288
1240, 0.0128
1241, 0.1024
1242, 0.0064
1243, 0.0096
1244, 0.0256
1245, 0.0512
1246, 0.0192
1247, 0.1152
1248, 0.0096
1249, 0.016
1250, 0.0128
1251, 0.016
1252, 0.144
1253, 0.0576
1254, 0.0256
1255, 0.008
1256, 0.1152
1257, 0.0256
1258, 0.064
1259, 0.0192
1260, 0.0096
1261, 0.0128
1262, 0.0768
1263, 0.032
1264, 0.064
1265, 0.0064
1266, 0.0384
1267, 0.064
1268, 0.0384
1269, 0.096
1270, 0.0576
1271, 0.0096
1272, 0.24
1273, 0.016
1274, 0.0288
1275, 0.0256
1276, 0.008
1277, 0.0096
1278, 0.0032
1279, 0.0576
1280, 0.048
1281, 0.016
1282, 0.0768
1283, 0.024
1284, 0.0064
1285, 0.0064
1286, 0.0384
1287, 0.0384
1288, 0.0432
1289, 0.0192
1290, 0.0064
1291, 0.0128
1292, 0.0256
1293, 0.0288
1294, 0.024
1295, 0.048
1296, 0.0192
1297, 0.0128
1298, 0.048
1299, 0.0016
1300, 0.0128
1301, 0.0256
1302, 0.0064
1303, 0.0144
1304, 0.0256
1305, 0.016
1306, 0.0128
1307, 0.0096
1308, 0.016
1309, 0.0192
1310, 0.0032
1311, 0.0384
1312, 0.0048
1313, 0.032
1314, 0.0032
1315, 0.0048
1316, 0.0768
1317, 0.1536
1318, 0.0096
1319, 0.0096
1320, 0.096
1321, 0.0192
1322, 0.1024
1323, 0.1152
1324, 0.0384
1325, 0.048
1326, 0.0384
1327, 0.0192
1328, 0.0144
1329, 0.0032
1330, 0.0064
1331, 0.0192
1332, 0.0128
1333, 0.0096
1334, 0.0064
1335, 0.04
1336, 0.0128
1337, 0.0192
1338, 0.0256
1339, 0.032
1340, 0.064
1341, 0.24
1342, 0.0288
1343, 0.0128
1344, 0.0048
1345, 0.0256
1346, 0.0256
1347, 0.0256
1348, 0.08
1349, 0.0192
1350, 0.0144
1351, 0.0512
1352, 0.0576
1353, 0.0064
1354, 0.0256
1355, 0.024
1356, 0.0096
1357, 0.0096
1358, 0.0192
1359, 0.0192
1360, 0.0032
1361, 0.0288
1362, 0.0128
1363, 0.064
1364, 0.0048
1365, 0.0192
1366, 0.0128
1367, 0.0096
1368, 0.0288
1369, 0.0288
1370, 0.0288
1371, 0.024
1372, 0.0576
1373, 0.0576
1374, 0.0064
1375, 0.0144
1376, 0.0192
1377, 0.144
1378, 0.0384
1379, 0.0576
1380, 0.072
1381, 0.0032
1382, 0.0288
1383, 0.0288
1384, 0.1152
1385, 0.1152
1386, 0.144
1387, 0.0096
1388, 0.016
1389, 0.048
1390, 0.0288
1391, 0.0768
1392, 0.048
1393, 0.1152
1394, 0.0096
1395, 0.0256
1396, 0.048
1397, 0.0096
1398, 0.032
1399, 0.064
1400, 0.016
1401, 0.0512
1402, 0.0576
1403, 0.0192
1404, 0.0128
1405, 0.1152
1406, 0.008
1407, 0.0192
1408, 0.0288
1409, 0.0288
1410, 0.128
1411, 0.0192
1412, 0.0048
1413, 0.032
1414, 0.0192
1415, 0.0032
1416, 0.064
1417, 0.0032
1418, 0.0048
1419, 0.0256
1420, 0.016
1421, 0.0432
1422, 0.0384
1423, 0.0288
1424, 0.0512
1425, 0.0768
1426, 0.032
1427, 0.144
1428, 0.0432
1429, 0.0128
1430, 0.048
1431, 0.0096
1432, 0.048
1433, 0.0144
1434, 0.0096
1435, 0.064
1436, 0.048
1437, 0.0128
1438, 0.0064
1439, 0.0128
1440, 0.032
1441, 0.0128
1442, 0.1536
1443, 0.0128
1444, 0.0384
1445, 0.0032
1446, 0.024
1447, 0.0256
1448, 0.0768
1449, 0.048
1450, 0.0032
1451, 0.0768
1452, 0.0096
1453, 0.0864
1454, 0.096
1455, 0.0256
1456, 0.0048
1457, 0.0768
1458, 0.0064
1459, 0.0192
1460, 0.0192
1461, 0.0096
1462, 0.016
1463, 0.0432
1464, 0.0096
1465, 0.0256
1466, 0.0032
1467, 0.0192
1468, 0.0032
1469, 0.0192
1470, 0.0288
1471, 0.0288
1472, 0.0384
1473, 0.0256
1474, 0.0144
1475, 0.0064
1476, 0.0032
1477, 0.0256
1478, 0.0048
1479, 0.0144
1480, 0.0192
1481, 0.0064
1482, 0.0384
1483, 0.0128
1484, 0.0064
1485, 0.072
1486, 0.0256
1487, 0.0096
1488, 0.048
1489, 0.0032
1490, 0.048
1491, 0.0128
1492, 0.2
1493, 0.0064
1494, 0.0048
1495, 0.0048
1496, 0.048
1497, 0.0256
1498, 0.0192
1499, 0.072
1500, 0.024
1501, 0.0288
1502, 0.0256
1503, 0.0128
1504, 0.032
1505, 0.0016
1506, 0.0256
1507, 0.0576
1508, 0.096
1509, 0.0064
1510, 0.0096
1511, 0.0064
1512, 0.0256
1513, 0.0128
1514, 0.0144
1515, 0.0256
1516, 0.072
1517, 0.064
1518, 0.0032
1519, 0.016
1520, 0.0576
1521, 0.032
1522, 0.0032
1523, 0.0096
1524, 0.0512
1525, 0.24
1526, 0.0192
1527, 0.0032
1528, 0.0064
1529, 0.0048
1530, 0.072
1531, 0.048
1532, 0.0128
1533, 0.0192
1534, 0.0128
1535, 0.0128
1536, 0.0128
1537, 0.0032
1538, 0.096
1539, 0.1536
1540, 0.0096
1541, 0.0384
1542, 0.288
1543, 0.0256
1544, 0.024
1545, 0.0256
1546, 0.288
1547, 0.0768
1548, 0.032
1549, 0.0192
1550, 0.0128
1551, 0.0512
1552, 0.0192
1553, 0.0144
1554, 0.0192
1555, 0.0768
1556, 0.0256
1557, 0.0144
1558, 0.2304
1559, 0.0032
1560, 0.0576
1561, 0.0384
1562, 0.0128
1563, 0.128
1564, 0.0128
1565, 0.0128
1566, 0.0064
1567, 0.0576
1568, 0.032
1569, 0.0144
1570, 0.0128
1571, 0.0032
1572, 0.0288
1573, 0.144
1574, 0.0064
1575, 0.0192
1576, 0.0096
1577, 0.0192
1578, 0.0384
1579, 0.0032
1580, 0.0048
1581, 0.0768
1582, 0.048
1583, 0.0096
1584, 0.0128
1585, 0.032
1586, 0.144
1587, 0.0256
1588, 0.12
1589, 0.128
1590, 0.0192
1591, 0.0096
1592, 0.0192
1593, 0.0128
1594, 0.0032
1595, 0.0032
1596, 0.0288
1597, 0.0288
1598, 0.048
1599, 0.0128
1600, 0.016
1601, 0.0384
1602, 0.0128
1603, 0.032
1604, 0.0128
1605, 0.1152
1606, 0.0768
1607, 0.128
1608, 0.0048
1609, 0.0128
1610, 0.0576
1611, 0.064
1612, 0.0096
1613, 0.0096
1614, 0.0128
1615, 0.0192
1616, 0.0192
1617, 0.0016
1618, 0.0032
1619, 0.128
1620, 0.072
1621, 0.0576
1622, 0.024
1623, 0.096
1624, 0.0288
1625, 0.16
1626, 0.032
1627, 0.0032
1628, 0.0144
1629, 0.0048
1630, 0.064
1631, 0.0256
1632, 0.0048
1633, 0.1152
1634, 0.0256
1635, 0.0048
1636, 0.0192
1637, 0.0512
1638, 0.008
1639, 0.0256
1640, 0.0512
1641, 0.0128
1642, 0.0064
1643, 0.064
1644, 0.0192
1645, 0.0096
1646, 0.0144
